,head,head_replaced,head_translated
11498,teenager,teenager,青少年
11499,sweet,sweet,甜的
11500,wet person,wet person,湿人
11501,toppings,toppings,浇头
11502,if dog,if dog,如果狗
11503,xbox live account,xbox live account,Xbox Live账户
11504,look young,look young,看上去很年轻
11505,cozy chair,cozy chair,舒适的椅子
11506,cycling outfit,cycling outfit,单车装备
11507,doctor's phone numbers,doctor's phone numbers,医生的电话号码
11508,smell,smell,气味
11509,lift,lift,电梯
11510,running outfit,running outfit,跑步装备
11511,totes,totes,手提
11512,golfball,golfball,高尔夫球
11513,entry form,entry form,报名表
11514,ground beef,ground beef,碎牛肉
11515,nails long enough,nails long enough,指甲够长
11516,loose shoelace,loose shoelace,松鞋带
11517,breakfast bar,breakfast bar,早餐吧
11518,loose weight,loose weight,松散重量
11519,manilenvelope,manilenvelope,信封
11520,auto,auto,汽车
11521,fish,fish,鱼
11522,country fruit chutney,country fruit chutney,乡村水果酸辣酱
11523,hard work,hard work,努力工作
11524,chair/stool,chair/stool,椅子／凳子
11525,chimney,chimney,烟囱
11526,shell,shell,壳
11527,circular route,circular route,环形路线
11528,tahiti,tahiti,塔希提岛
11529,mow lawn,mow lawn,修剪草坪
11530,small dog,small dog,小狗
11531,average human,average human,普通人
11532,pointer,pointer,指针
11533,wise leader,wise leader,英明的领袖
11534,show tickets,show tickets,演出票
11535,mount fuji,mount fuji,富士山
11536,cool box,cool box,冰袋
11537,glass cups,glass cups,玻璃杯
11538,payment account,payment account,付款帐户
11539,rails,rails,钢轨
11540,financial reward,financial reward,财政奖励
11541,set of keys,set of keys,一套钥匙
11542,ziploc,ziploc,ziploc
11543,clamp binder,clamp binder,夹紧粘结剂
11544,organic food,organic food,有机食品
11545,chess,chess,国际象棋
11546,stick,stick,坚持
11547,winner,winner,优胜者
11548,brainstorm,brainstorm,头脑发热
11549,char,char,茶
11550,mercurochrome,mercurochrome,红药水
11551,webcam,webcam,网络摄像机
11552,platter,platter,大浅盘
11553,colposcope,colposcope,阴道镜
11554,timeclock,timeclock,计时锁
11555,classified ads,classified ads,分类广告
11556,grabage cans,grabage cans,谷物罐
11557,psychologist,psychologist,心理学家
11558,all news,all news,所有新闻
11559,hay loft,hay loft,干草阁楼
11560,reflection,reflection,反射
11561,profilgacy,profilgacy,profilgacy
11562,classical music,classical music,古典音乐
11563,plant garden,plant garden,植物花园
11564,dressmaker,dressmaker,裁缝
11565,garage opener,garage opener,车库开启器
11566,leash,leash,皮带
11567,drain,drain,排干
11568,pet taxi,pet taxi,宠物出租车
11569,flat table,flat table,平台
11570,airplace,airplace,机场
11571,chamois,chamois,麂皮
11572,grave mark,grave mark,坟痕
11573,lava,lava,熔岩
11574,dutch oven,dutch oven,荷兰烤箱
11575,massage oil,massage oil,按摩油
11576,black dress,black dress,黑色连衣裙
11577,baggy,baggy,宽松的
11578,ditch,ditch,沟
11579,cash flow,cash flow,现金流动
11580,breathe,breathe,呼吸
11581,skull,skull,头骨
11582,pies,pies,派
11583,inventive mind,inventive mind,创造性思维
11584,utnesils,utnesils,乌特尼尔斯
11585,helment,helment,helment
11586,successful,successful,成功的
11587,burritos,burritos,墨西哥卷饼
11588,art expert,art expert,艺术专家
11589,tiles,tiles,瓷砖
11590,pop machine,pop machine,弹簧机
11591,sidewalk,sidewalk,人行道
11592,radish,radish,萝卜
11593,barbershop quartet,barbershop quartet,理发店四重奏
11594,carry on bag,carry on bag,随身行李
11595,nail clippers,nail clippers,指甲钳
11596,talk to large group,talk to large group,与大集团对话
11597,whoopee cushion,whoopee cushion,放屁坐垫
11598,dog,dog,狗
11599,jellybeans,jellybeans,软糖
11600,play violin,play violin,拉小提琴
11601,brain,brain,脑
11602,gets broom,gets broom,得到扫帚
11603,john tesh,john tesh,约翰·特什
11604,animal hair,animal hair,动物毛发
11605,whey,whey,乳清
11606,snowstorm,snowstorm,暴风雪
11607,radiator,radiator,散热器
11608,profile,profile,形象
11609,stair,stair,楼梯
11610,yeild sign,yeild sign,yeild符号
11611,bus token,bus token,总线令牌
11612,article in magazine,article in magazine,杂志上的文章
11613,obfuscation,obfuscation,困惑
11614,phoneline,phoneline,电话线
11615,poster board,poster board,海报板
11616,stair case,stair case,楼梯箱
11617,each finger,each finger,每个手指
11618,automobile,automobile,汽车
11619,hats,hats,帽子
11620,parkink lot,parkink lot,百灵停车场
11621,alabama,alabama,阿拉巴马州
11622,suspension cable,suspension cable,悬索
11623,life ring,life ring,生命之环
11624,tape line,tape line,胶带生产线
11625,mortgage,mortgage,抵押
11626,museum goer,museum goer,博物馆游客
11627,mall,mall,购物中心
11628,temple,temple,寺庙
11629,steel cable,steel cable,钢缆
11630,gridlock,gridlock,僵局
11631,lighening,lighening,减轻
11632,pedestrian,pedestrian,行人
11633,steve,steve,史蒂夫
11634,wicker,wicker,柳条
11635,chiropractor,chiropractor,脊椎指压治疗师
11636,street lamp,street lamp,路灯
11637,carnival worker,carnival worker,嘉年华工作人员
11638,microscope,microscope,显微镜
11639,soffit,soffit,拱腹
11640,playbook,playbook,剧本
11641,snitch,snitch,告密者
11642,instrument,instrument,仪器
11643,u.f.o,u.f.o,U．f．o
11644,precinct,precinct,选区
11645,yardstick,yardstick,码尺
11646,lock key,lock key,锁匙
11647,pens,pens,笔
11648,tongue,tongue,舌头
11649,circus trainer,circus trainer,马戏团驯兽师
11650,take pill,take pill,吃药
11651,hairdressing salon,hairdressing salon,美发沙龙
11652,socks,socks,袜子
11653,shower,shower,淋浴
11654,box office,box office,票房
11655,heat and light,heat and light,光和热
11656,tap or faucet,tap or faucet,水龙头或水龙头
11657,garden tools,garden tools,园艺工具
11658,book shop,book shop,书店
11659,pickle,pickle,泡菜
11660,qtip,qtip,qtip
11661,alien,alien,外星人
11662,strong person,strong person,坚强的人
11663,professional clothing,professional clothing,职业装
11664,helmet,helmet,头盔
11665,get hit,get hit,被击中
11666,attach case,attach case,附加箱
11667,practice test sheets,practice test sheets,实践测试表
11668,evening gown,evening gown,晚礼服
11669,hunting knife,hunting knife,猎刀
11670,hurt,hurt,损害
11671,birthday girl,birthday girl,小寿星
11672,rollerblades,rollerblades,滑旱冰
11673,milk carton,milk carton,牛奶盒
11674,landowner,landowner,地主
11675,medicine kit,medicine kit,药箱
11676,bicarbonate of soda,bicarbonate of soda,小苏打
11677,radio city music hall,radio city music hall,无线电城音乐厅
11678,calorie calculator,calorie calculator,卡路里计算器
11679,nitrogen molecule,nitrogen molecule,氮分子
11680,conference table,conference table,会议桌
11681,drop cloths,drop cloths,滴衣布
11682,sticks,sticks,木棍
11683,skirts,skirts,裙子
11684,liquor glass,liquor glass,酒杯
11685,folf cart,folf cart,折叠车
11686,amunition,amunition,弹药
11687,backpacks,backpacks,背包
11688,feel sad,feel sad,感到悲伤
11689,vet insurance,vet insurance,兽医保险
11690,headline news,headline news,头条新闻
11691,beauty blender,beauty blender,美容搅拌机
11692,launch platfrom,launch platfrom,发射平台
11693,how water heater,how water heater,热水器
11694,duck,duck,鸭
11695,job application,job application,工作申请
11696,cell service,cell service,手机服务
11697,fishing tackle,fishing tackle,渔具
11698,advertisments,advertisments,广告
11699,espresso coffee,espresso coffee,浓缩咖啡
11700,store,store,商店
11701,erythromycin,erythromycin,红霉素
11702,kiwi,kiwi,猕猴桃
11703,chess queen,chess queen,国际象棋皇后
11704,data plan,data plan,数据计划
11705,fuel,fuel,燃料
11706,flash cards,flash cards,闪存卡
11707,small change,small change,零钱
11708,program book,program book,程序簿
11709,top mark,top mark,最高分
11710,earache,earache,耳痛
11711,action,action,行动
11712,intelligent person,intelligent person,聪明人
11713,galleon,galleon,大帆船
11714,compeition,compeition,竞争
11715,fiction writer,fiction writer,小说作家
11716,knee pad,knee pad,护膝
11717,band aids,band aids,创可贴
11718,healthy cookbook,healthy cookbook,健康食谱
11719,gourmand,gourmand,大肚子
11720,old shoes,old shoes,旧鞋子
11721,bumper,bumper,保险杠
11722,amp,amp,安
11723,organ in,organ in,风琴
11724,padded jacket,padded jacket,棉袄
11725,baseball club,baseball club,棒球俱乐部
11726,job seeker,job seeker,求职者
11727,letter of intent,letter of intent,意向书
11728,good pair of shoes,good pair of shoes,一双好鞋
11729,fruit trees,fruit trees,果树
11730,puck,puck,手持游标器
11731,order meal,order meal,订餐
11732,hebron,hebron,希布伦
11733,stamp,stamp,邮票
11734,smart clothing,smart clothing,智能服装
11735,needle,needle,针
11736,subway stop,subway stop,地铁站
11737,gerbles,gerbles,格伯斯
11738,tooth glue,tooth glue,牙胶
11739,bicycle rack,bicycle rack,自行车架
11740,elbow,elbow,肘
11741,pine tre,pine tre,松特
11742,dressing room,dressing room,更衣室
11743,have money,have money,有钱
11744,advantage,advantage,优点
11745,life guard,life guard,救生员
11746,weedwacker,weedwacker,威德瓦克
11747,experiment,experiment,实验
11748,statchel bag,statchel bag,statchel包
11749,avalanche,avalanche,雪崩
11750,kerb,kerb,路缘
11751,idenfitication,idenfitication,鉴定
11752,running shorts,running shorts,跑步短裤
11753,innocent person,innocent person,无辜的人
11754,oil stain,oil stain,油渍
11755,markers,markers,标记
11756,ticket booth,ticket booth,售票处
11757,guests,guests,客人
11758,dollar,dollar,美元
11759,ticket machine,ticket machine,售票机
11760,hot tea,hot tea,热茶
11761,raw materials,raw materials,原材料
11762,watchband,watchband,表带
11763,malaria,malaria,疟疾
11764,backstage passes,backstage passes,后台通行证
11765,makeup brushes,makeup brushes,化妆刷
11766,hangbag,hangbag,吊袋
11767,ice scraper,ice scraper,刮冰机
11768,exit sign,exit sign,出口标志
11769,backboard,backboard,篮板
11770,ink remover,ink remover,脱墨剂
11771,extra pen,extra pen,多余的笔
11772,very hot,very hot,很热
11773,source of heat,source of heat,热源
11774,water heater,water heater,热水器
11775,writing utensial,writing utensial,书写器具
11776,wallpaper,wallpaper,壁纸
11777,ipad,ipad,iPad
11778,grabage,grabage,格拉比奇
11779,chart,chart,图表
11780,police cruiser,police cruiser,警车
11781,gutter,gutter,排水沟
11782,battery tester,battery tester,电池测试仪
11783,lollipop,lollipop,棒棒糖
11784,waterbed,waterbed,水床
11785,special foil blankets,special foil blankets,特殊铝箔毛毯
11786,garage door,garage door,车库门
11787,receptionist,receptionist,接待员
11788,exit turnstile,exit turnstile,出口转门
11789,google,google,谷歌
11790,brownie,brownie,巧克力方块蛋糕
11791,windshield wipers,windshield wipers,挡风玻璃刮水器
11792,nicotine gum,nicotine gum,尼古丁口香糖
11793,package,package,包裹
11794,phone call,phone call,电话
11795,liver,liver,肝
11796,rolex watch,rolex watch,劳力士手表
11797,turnpike,turnpike,收费高速公路
11798,shin gaurds,shin gaurds,shin gaurds
11799,control freak boss,control freak boss,控制狂老板
11800,shame,shame,羞愧
11801,electric engraver,electric engraver,电动雕刻机
11802,spice rack,spice rack,香料架
11803,comb or brush,comb or brush,梳子或刷子
11804,phone plan,phone plan,电话计划
11805,camp stool,camp stool,野营凳
11806,kitty,kitty,小猫
11807,safe depoist,safe depoist,安全暂存
11808,tungsten,tungsten,钨
11809,treatment,treatment,处理
11810,station wagon,station wagon,客货两用车
11811,general,general,普遍的
11812,stewardess,stewardess,女服务员
11813,skiis,skiis,斯基斯
11814,jewelry store,jewelry store,珠宝店
11815,public servant,public servant,公务员
11816,american,american,美国人
11817,pain killers,pain killers,止痛药
11818,water shoes,water shoes,水鞋
11819,eating utensils,eating utensils,食具
11820,one day,one day,某一天
11821,go see film,go see film,去看电影
11822,spreadsheet program,spreadsheet program,电子表格程序
11823,studying aid,studying aid,助学金
11824,baffin island,baffin island,巴芬岛
11825,can openners,can openners,开罐器
11826,resturant,resturant,餐厅
11827,time clock,time clock,考勤钟
11828,handstraps,handstraps,手带
11829,water park,water park,水上公园
11830,mouspad,mouspad,Mousapad
11831,ideas,ideas,想法
11832,clip,clip,剪掉
11833,religious rights,religious rights,宗教权利
11834,receptacle,receptacle,容器
11835,resignation papers,resignation papers,辞职文件
11836,remark,remark,评述
11837,wide floor,wide floor,宽地板
11838,pledge,pledge,诺言
11839,registration number,registration number,登记号码
11840,go to work,go to work,去上班
11841,judicial robe,judicial robe,司法外袍
11842,property title,property title,产权
11843,topicals,topicals,Topicals
11844,fog horn,fog horn,雾角
11845,television remote,television remote,电视遥控器
11846,kidney,kidney,肾
11847,accounting books,accounting books,会计帐簿
11848,calcuator,calcuator,计算器
11849,photographic equipment,photographic equipment,摄影器材
11850,word processor,word processor,文字处理机
11851,key grip,key grip,负责摄影器材的人
11852,shade on sunny day,shade on sunny day,晴天遮阴
11853,columnist,columnist,专栏作家
11854,container of salt,container of salt,盛盐的容器
11855,chicken noodle soup,chicken noodle soup,鸡丝上汤窝面
11856,curator,curator,馆长
11857,can of soup,can of soup,一罐汤
11858,whipped cream,whipped cream,生奶油
11859,barley,barley,大麦
11860,worcestershire sauce,worcestershire sauce,伍斯特沙司
11861,healthy items,healthy items,健康物品
11862,email account,email account,电子邮件帐户
11863,crocodile,crocodile,鳄鱼
11864,hangar,hangar,飞机库
11865,view video,view video,观看录像
11866,write letter,write letter,写信
11867,pop music,pop music,流行音乐
11868,car door,car door,车门
11869,workout outfit,workout outfit,健身装备
11870,chemist,chemist,化学家
11871,service,service,服务
11872,flower arrangement,flower arrangement,插花
11873,media,media,媒体
11874,sharp pain,sharp pain,剧痛
11875,cone,cone,球果
11876,squirell,squirell,斯奎雷尔
11877,refridgerator,refridgerator,电冰箱
